Quadrant,education,month,N,initial_count,index,xy
HE-LC,PSE,2023-03-01,40049,34091,117.47675339532428,HE-LC PSE
HE-LC,PSE,2023-04-01,34264,34091,100.50746531342583,HE-LC PSE
HE-LC,PSE,2023-05-01,36665,34091,107.5503798656537,HE-LC PSE
HE-LC,PSE,2023-06-01,36922,34091,108.30424452201461,HE-LC PSE
HE-LC,PSE,2023-07-01,33962,34091,99.62160100906398,HE-LC PSE
HE-LC,PSE,2023-08-01,36291,34091,106.45331612449034,HE-LC PSE
HE-LC,PSE,2023-09-01,35785,34091,104.96905341585756,HE-LC PSE
HE-LC,PSE,2023-10-01,33568,34091,98.46587075767798,HE-LC PSE
HE-LC,PSE,2023-11-01,35883,34091,105.25651931594848,HE-LC PSE
HE-LC,PSE,2023-12-01,28331,34091,83.10404505587985,HE-LC PSE
HE-LC,PSE,2024-01-01,35692,34091,104.69625414332229,HE-LC PSE
HE-LC,PSE,2024-02-01,33136,34091,97.19867413686897,HE-LC PSE
HE-LC,PSE,2024-03-01,32930,34091,96.59440908157578,HE-LC PSE
HE-LC,PSE,2024-04-01,31241,34091,91.64002229327389,HE-LC PSE
HE-LC,PSE,2024-05-01,34602,34091,101.49892933618843,HE-LC PSE
HE-LC,PSE,2024-06-01,33687,34091,98.81493649350269,HE-LC PSE
HE-LC,PSE,2024-07-01,32789,34091,96.18081018450617,HE-LC PSE
